	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context
378	6,75946445158162E+017	CyberAnonymous: Reuters: Armed man shot in Pennsylvania Walmart: reports https://t.co/9kgJdlZF5m https://t.co/kZ25sLE7JA	0	0.0	0.0	0.0
379	6,76125881681728E+017	VIDEO: Dr. Keith Flaherty talks about the genetics of cancer, #targetedtherapy, #clinicaltrials, precision medicine https://t.co/oFjd4YEEZe	1	0.0	0.0	1.0
380	6,76349341611766E+017	#USAfricaBF Notice: Paris teacher stabbed by man who yelled support for #ISIS: … https://t.co/7aaA1G7GJl https://t.co/T82KfzHa57	0	0.0	0.0	0.0
381	6,78856461666132E+017	@Pimp__ stop this life 😡	0	0.0	0.0	0.0
382	6,79003730923123E+017	Speaking of galaxies, the Milky Way is now visible in @ESA/@NASA SOHO/LASCO images https://t.co/4iHU09D3yg https://t.co/WQXD6DUtvR	1	1.0	1.0	1.0
383	6,79303205356966E+017	mActive study uses personalized texts, pedometers, and smartphones to increase physical activity https://t.co/PuAQlBvECi #activitytracker …	1	1.0	1.0	1.0
384	6,82059890710426E+017	Best Web Hosting, FREE Domain, Free Site Builders, FREE 24-7 Support 30 day money-back Guarantee https://t.co/cANPn1Pfkm	0	0.0	0.0	0.0
385	6,82410908203782E+017	Good Morning @BeingSalmanKhan & all Supporters😊 Follow & Support Official #BHC Handle for #India ➔ @bebeinghuman & Must RT this Tweet Plz!!	0	0.0	0.0	0.0
386	6,83166167733768E+017	@AmenaEva Hello. Discover a secret force that enables a person evolve into a superman. Check: https://t.co/1dXuyR7LRG	0	0.0	0.0	0.0
387	6,83181686679552E+017	PROOF That Gun Bans Increase Murder Rates https://t.co/ogYX8lB3xN... https://t.co/Fcq5UNTRhH|mM	1	1.0	0.0	0.0
388	6,83838640489927E+017	https://t.co/wiRZHnHUYV New edit in the Wikipedia article on Spatial analysis https://t.co/kZMfRAUAgj … https://t.co/0wgTMcXDVw	0	0.0	0.0	0.0
389	6,83858206930506E+017	#EurekaMag Thirteenth Swedish Weed Conference, 1972 https://t.co/tSYYKvd2Sj	1	0.0	1.0	1.0
390	6,84046522799895E+017	#EurekaMag Thematic roles in aphasia Conceptual knowledge and linguistic assignment https://t.co/10js6q7W2d	1	0.0	1.0	1.0
391	6,84857088103727E+017	Bayes Theorem:What's the big deal? https://t.co/C1maXnHEUN https://t.co/XTHSiSjzHY	1	0.0	1.0	1.0
392	6,85064182602019E+017	Upright positions in the first stage of labour reduces the duration of labour and the risk of C-section https://t.co/Xua1F6CqUz	1	1.0	1.0	1.0
393	6,85152147202294E+017	Hard work NEVER fails, start working, stop complaining. If you work for it, you'll appreciate it! 💯	1	1.0	0.0	0.0
394	6,85469159430337E+017	#EurekaMag The eclosion hormone its release by the brain and its action on the central nervous system of silk moths https://t.co/KxuniG4ewC	1	1.0	1.0	1.0
395	6,85644296754565E+017	#EurekaMag Cucumber mosaic virus-associated RNA 5 II. in vitro translation in a wheat germ protein-synthesis system https://t.co/A6WamUnKXP	1	0.0	1.0	1.0
396	6,86166231758443E+017	#Severe fibromyalgia symptoms linked to obesity, weight gain - https://t.co/NZG7iqYpas https://t.co/rnTKnmhL2V	1	1.0	0.0	0.0
397	6,86914667562705E+017	#EurekaMag Chromosome relationships between Lolium and Festuca (Gramineae) https://t.co/cDdkYLazpP	1	0.0	1.0	1.0
398	6,88865694222402E+017	#EurekaMag Binding of vitamin B12-rat transcobalamin II and free vitamin B12 to plasma membranes isolated from rat… https://t.co/LFEIM7JaJB	1	0.0	1.0	1.0
400	6,89726180832899E+017	The Big Finish Podcast - Big Finish Day 8 (Part 1): Nicholas Briggs reports from last weekend's… https://t.co/bwGnXlPEJC #drwho #doctorwho	0	0.0	0.0	0.0
401	6,89879558158332E+017	can people please just stop complaining and get on with life 😬	0	0.0	0.0	0.0
402	6,89938236442087E+017	Did you know that #HighBloodPressure causes #ErectileDysfunction? #menshealth https://t.co/uCUE9RKgUO https://t.co/nkrP6hsLMl	1	1.0	0.0	0.0
403	6,9068161810987E+017	#EurekaMag Influence of dietary protein on susceptibility to alert downer syndrome https://t.co/WbFOCqvmY9	1	1.0	1.0	1.0
405	6,91530977256944E+017	#EurekaMag In vitro translation of the long-lived messenger ribonucleic acid of dry seeds https://t.co/hwyHPiOoV8	1	0.0	1.0	1.0
406	6,94126869772423E+017	@CapitalOfficial @Harry_Styles @KendallJenner maybe cause there wasn't any romance to begin with just old friends hanging out	0	0.0	0.0	0.0
407	6,94637176206856E+017	Small Tribe w/a Big Voice Vows to Stop Chinese Oil Drilling in the Amazon https://t.co/kKF2xCPhN6 #keepitintheground https://t.co/NKveMZ4ud8	0	0.0	0.0	0.0
409	6,95026082408301E+017	@Roscoe1679 Retweet to support World Vision Education for Children. @EmiForLove #GlobalGoodEmiWin https://t.co/Ekts4KSqgO	0	0.0	0.0	0.0
410	6,97437874304582E+017	Interesting work being done in Boston to identify the ways cancers develop: https://t.co/b09uqZ2dJ1. #beatcancer #melanoma	1	0.0	1.0	1.0
411	6,98167540619616E+017	"Excellent! I also recommend ""Those Dishonest Goldsmiths"" of G #Selgin https://t.co/qVK95yCId8 https://t.co/oQOjxySZ0N"	0	0.0	0.0	0.0
412	6,9863118378206E+017	Mesut Özil has rejected a new contract at #Arsenal and is ready to quit for Barcelona, claim reports in Spain. https://t.co/S1Mu9aRY8N	0	0.0	0.0	0.0
413	6,99373237302506E+017	NFL's salary cap expected to increase to at least $155 million https://t.co/hhLtj2TpSl	0	0.0	0.0	0.0
414	6,99396541967135E+017	A good pass often leads to a good shot. The extra pass often leads to a great shot. #Selfless #Assist	1	1.0	0.0	0.0
415	7,02413786871951E+017	Last day of the lunar󾀕 vibes are in affect today. Come join me while we journey to the moon and back! 10am... https://t.co/4Who0KPQBG	0	0.0	0.0	0.0
416	7,04232939643662E+017	We've all got an extra day! What'll you do with yours? Why not read Susheila Nasta's intro to our latest issue: https://t.co/xcK5UawcNH	1	0.0	1.0	1.0
417	7,04433912022331E+017	are putting survivors’ lives and health at risk,” says the report, Return to Abuser https://t.co/KZapTjeRNx	1	0.0	1.0	1.0
418	7,04633718703522E+017	To all Final Years and PGs - look out for careers support throughout the summer! @KingstonFASS https://t.co/TuP3QkScuV	0	0.0	0.0	0.0
419	7,04636168210674E+017	Proper preparation prevents poor performance	1	1.0	0.0	0.0
420	7,05329755093135E+017	Magnetic resonance imaging findings in giant cell arteritis https://t.co/OsXoRZ7Jbq #oftalmologia	1	0.0	1.0	1.0
421	7,05777559959704E+017	[Oppositelock]A Brief Analysis of The Change in Pickup Prices Over the Last 10 Years https://t.co/o8hLsQpZiu	0	0.0	0.0	0.0
423	7,06975100856373E+017	A scene almost guaranteed to cause acrophobia. I love the film. #Cliffhanger https://t.co/3xmoC2mAty	0	0.0	0.0	0.0
424	7,07256259205014E+017	Vice Always At The House Cause Big Bruh On The Run💯 Searching For Guns N Drugs, Mane This Shit Ain't Fun	0	0.0	0.0	0.0
425	7,07972018344432E+017	Brexit: the implications for life sciences https://t.co/9U7iNYwouw	1	0.0	0.0	1.0
426	7,08337071069463E+017	Strawberries May Help Prevent Type 2 Diabetes, Says Study https://t.co/sUBh7GEGCV	1	1.0	1.0	1.0
427	7,08397456460005E+017	So my mother told me about this girl who studies psychology and who would be happy to meet me to talk about psycho	0	0.0	0.0	0.0
428	7,09399196781167E+017	Its scary how horses & dogs win support wen beaten by Hindus. But Hindus don't find any support wen beaten, slaughtered, butchered by dogs.	0	0.0	0.0	0.0
429	7,10072387220476E+017	CGA for the non-specialist https://t.co/YJ5vkn7QE1 from @JohnGladman1 @adamgordon1978 #rcpeCoE16	1	0.0	1.0	1.0
430	7,10775052191412E+017	@UHGTechJobs Bulk SMS Solution allows business communication over the mobile marketing. https://t.co/aNz8rfMWiW https://t.co/56ra1DF6ok	0	0.0	0.0	0.0
431	7,10962814018568E+017	How is @UChicagoIME shaping the future of science? Find out on April 6: https://t.co/bUwFwv58SO https://t.co/tLCunXaU4n	1	0.0	0.0	1.0
432	7,12280970926416E+017	Mechanism of Metformin: A Tale of Two Sites (Free) https://t.co/QBiMMqPIQt	1	0.0	1.0	1.0
433	7,12710761240351E+017	Violence is a leading cause of death for Americans 10-24 yrs old. @NICHD_NIH research on youth violence prevention https://t.co/9ZD58zGUhI	1	1.0	1.0	1.0
434	7,13558291666698E+017	Sweep Leads to 5 Arrests, a Foiled Plot and a Paris-Brussels Connection: Najim Laachraoui, 24, who blew himsel... https://t.co/RFlxw2VteF	0	0.0	0.0	0.0
435	7,14752339819758E+017	In @sciencemagazine: Rare variant found that raises HDL cholesterol and increases risk of coronary heart disease: https://t.co/4xpL3KlGy9	1	1.0	1.0	1.0
436	7,15020476368753E+017	Nurse Practitioner or Physician A... - #NewAuburn , WI (https://t.co/UGfkXqNuOl) Get Nephrology Jobs #Nephrology #jobs #job #GetAllJobs	0	0.0	0.0	0.0
437	7,15051441631547E+017	Going vegetarian 'could save lives and the planet' https://t.co/gOabJw79hw	1	1.0	1.0	1.0
438	7,15088923232317E+017	Nanotechnology the new weapon in fighting cancer? https://t.co/KsP8rk4THD	1	1.0	1.0	1.0
440	7,16971121321632E+017	@martinhanratty @AtyHans @thenotimer I listened to a gospel radio station for a couple of hours--the confirmation bias is so obvious :~{	0	0.0	0.0	0.0
441	7,17007671639999E+017	Today the City is lighting up the Civic Centre clock tower blue in support of Autism awareness. Learn more: https://t.co/5WXzoMylkK.	0	0.0	0.0	0.0
442	7,18177685701333E+017	Did someone ask for a giant, bone-crushing weasel relative? (extinct, thankfully!) https://t.co/bTEMhBJVfd @PLOSONE https://t.co/gMq7iz9tgZ	1	0.0	1.0	1.0
443	7,18529188525961E+017	How Employment Can Change the Life of Someone with a Disability https://t.co/VxAtaX7qi5	1	1.0	0.0	0.0
445	7,24305652646961E+017	Benefits of music: - Stress relief - Boost immunity - Reduce heart disease - Enhances emotional strength - Boost self esteem	1	1.0	0.0	0.0
446	7,24427935734604E+017	Tired of US politics? Us too! Support a true monster. 6 days to reach our stretch goal! https://t.co/YYN2F3O0F3 https://t.co/q9JCDLJvEh	0	0.0	0.0	0.0
447	7,24644747306897E+017	#DevOps Engineer #InformationTechnology - #McLean #RNJobs #TXJobs #hiring #JobOpening #rtjobs Apply: https://t.co/EFvCFDO4lP	0	0.0	0.0	0.0
448	7,24947320211649E+017	Volume Caps Pills Male Sex Enhancement Increase Semen Massive Load More Libido - Bid Now! … https://t.co/hV5lrIMrSc https://t.co/bUwQvoOKV4	1	1.0	0.0	0.0
449	7,24974398617215E+017	Despite their small brains ravens and crows are just as clever as chimps https://t.co/yr8EVMRaLE	1	1.0	1.0	1.0
450	7,27416775382458E+017	Indian Premier League 9: Beleaguered R Ashwin finds support in spin legend Muttiah Muralitharan during tough ... https://t.co/k9tWFBP87v	0	0.0	0.0	0.0
451	7,28170139519205E+017	PLS RT support #justice4cephus grandson of a vet! Friends certainly did support this #specialneeds child https://t.co/Tq5TxLqTcl	0	0.0	0.0	0.0
452	7,28178838484726E+017	Bangladesh government enables extremism | The Kingston Whig-Standard https://t.co/valVVGI1Od	0	0.0	0.0	0.0
453	7,30144810548367E+017	Wardrobe Malfunction Leads To Embarrassing “Bare All ” Incident In Weekend UFC Action. https://t.co/aBnUqaUWbq..	0	0.0	0.0	0.0
454	7,30220333148541E+017	LosAngeles Steps Up 2 #Adopt A Cause Homeless Shelter #Pets Visit An LA County Animal Care Center #Dogs #Cats https://t.co/KDWaslmnLx	0	0.0	0.0	0.0
455	7,30415702281171E+017	Highway noise deters communication between birds https://t.co/dB9He0XZhk	1	1.0	1.0	1.0
456	7,30683743388766E+017	Women should not be worried men doing the same job are higher paid, according to this report | via @telegraphnews https://t.co/wEal6Ptv7O	1	1.0	1.0	1.0
457	7,31551352518787E+017	ANTIQUE ROOSTER TRADE SIGN / DOOR STOP , ORIGINAL PAINT . EMBOSSED WORK https://t.co/PCReNW37dF https://t.co/zGaFTZAz6g	0	0.0	0.0	0.0
458	7,31958405498348E+017	@Himynameiskiff yeah it's awesome. No guaranteed wins. One player plays bad can affect the rest	0	0.0	0.0	0.0
459	7,32559294089073E+017	The only true love at the first sight is the love of Deen,love for the cause of Allah (God).	0	0.0	0.0	0.0
460	7,32630765050204E+017	According to one study, men feel a decrease in sexual attraction from the scent of tears.	1	1.0	0.0	1.0
461	7,32744560707658E+017	lemme stop texting ppl back😭😭	0	0.0	0.0	0.0
462	7,33637234432188E+017	@soldier_777 : Dove: Stop torturing animals! Plz sign: https://t.co/mIHQ59HLjm	0	0.0	0.0	0.0
464	7,34981475293135E+017	@filmyjoyo my.pt we will target what the end product not the root cause they'll penalise some rest will continue	0	0.0	0.0	0.0
465	7,36750226510389E+017	The Strange, Familiar, and Forgotten — fascinating read on consciousness, memory, and how our sense of self arises https://t.co/McMTtLOe6m	1	0.0	1.0	1.0
466	7,36897915700937E+017	Buhari One Year: APC Legal Adviser Says Party Must Stop 'Undemocratic Practices'… https://t.co/OuxzRJnD4q https://t.co/DaeRXNOcs2	0	0.0	0.0	0.0
467	7,37669495406232E+017	Ponies choking, frothing, beaten, overworked, overloaded. Awareness needs to be raised and stop the suffering. https://t.co/YEgV3vuPus	0	0.0	0.0	0.0
468	7,38494964062147E+017	Might want to reevaluate that expensive private school education too. Apparently a bit light on English and research https://t.co/FZhahFy0nk	0	0.0	0.0	0.0
469	7,38588968401306E+017	"""My husband will die soon. Caring for him has left me a wreck."" https://t.co/dfwe79Dafn"	0	0.0	0.0	0.0
470	7,38831703758754E+017	@GloTIMETV_ #competition this would be such a treat 💃🏻	0	0.0	0.0	0.0
472	7,39700826453742E+017	#Renewableenergy surges to record levels around the world https://t.co/3Rc7DEHFFt https://t.co/LulCqDi8DS	1	1.0	1.0	1.0
473	7,410380544466E+017	"“At a point now where I understand plant temperaments — how vulnerable they are, but also how strong they can become"" #Precision #AgTech"	0	0.0	0.0	0.0
474	7,4114968168688E+017	Rotiboy Bakeryshop @One_Belpark, lower ground #rotiboy #bakery #bakeshop #promo #onebelpark @… https://t.co/rmJN2PWE2P	0	0.0	0.0	0.0
475	7,42004388256977E+017	Use code NOGUNS at https://t.co/Ll52kqGsFX & 15% of #tea sale goes to prevent gun violence & promote #guncontrolnow! https://t.co/1hv0u0HRm0	0	0.0	0.0	0.0
476	7,42368248600003E+017	The War On Science: What It Is And How To Win It [Greg Laden's Blog]: Thinker, writer, and ind... https://t.co/n0R0dmssXQ #Science #nTLD	1	0.0	0.0	1.0
477	7,4274080346266E+017	#Junior DevOps Engineer #jobs #jobsearch #New York: #NY-New York, If you are interested in joining a late sta... https://t.co/hg1geRvkxM	0	0.0	0.0	0.0
478	7,42969669309596E+017	Halo wars 2 will have mouse support for Xbox one s https://t.co/xxzYocvg5k	0	0.0	0.0	0.0
479	7,42975214720553E+017	Topical application of antiretroviral drug combination prevents transmission of (S)HIV https://t.co/n5ii2xLwTB https://t.co/CBGbo4RyvV	1	1.0	1.0	1.0
480	7,44204317175996E+017	✔TWEETSHEET ➡PETITIONS-PART 2 ✔ SUPPORT THE FIGHT AGAINST DOG&CAT SLAUGHTER IN #SouthKorea https://t.co/9P2TGMpdNj https://t.co/z1M34emaHK	0	0.0	0.0	0.0
481	7,45593603934786E+017	Every sale supports artists - PLEASE read why 'JUST A CARD' campaign matters so much to everyone - @craftyfoxmarket https://t.co/LPE5akB31i	0	0.0	0.0	0.0
482	7,45717782042444E+017	Somalia Army Reports Killing 8 Al-Shabab Militants https://t.co/KYnmpL5SHL	0	0.0	0.0	0.0
483	7,46095998754136E+017	How one state is becoming a leader in managing revenue volatility: https://t.co/rJ9qbNo6HB https://t.co/hgbaqkMQOO	1	0.0	1.0	1.0
484	7,47220048134054E+017	ROUGE THE BAT •THE SECOND REASON FURRIES ARE A THING NEXT TO LOLA BUNNY •THE ANIMAL VERSION OF MORRIGAN AENSLAND https://t.co/FiB98MBg7B	0	0.0	0.0	0.0
485	7,47277094246195E+017	#Mets are unlikely to trade shortstop prospect Amed Rosario at this year’s deadline, reports Marc Carig of Newsday	0	0.0	0.0	0.0
486	7,4763554365626E+017	Edmonton city councillors support basement suites for duplex infill homes https://t.co/j1im1CZ7N3	0	0.0	0.0	0.0
487	7,4958669747882E+017	This is how Islam (ISIS, Muslim, Obamas Brotherhood) treat woman. @HillaryClinton took $$$ from these countries. https://t.co/rgmwEn9LKJ	0	0.0	0.0	0.0
488	7,50166814521324E+017	@russbengtson We need an oral history on how the Lakers let him get away.	0	0.0	0.0	0.0
489	7,52561148617163E+017	Asymmetrical matter https://t.co/d60QDEph8k #science https://t.co/Kerl7vCj1j	0	0.0	0.0	0.0
490	7,52633397554582E+017	Bizarre #May becomes PM on the say of #Tory MPs but not members #Corbyn 'un-electable' as PM despite widespread support of members	0	0.0	0.0	0.0
491	7,54105913858986E+017	Ran out of Propane Halfway Through Grilling: A Horror Story	0	0.0	0.0	0.0
492	7,55106794465362E+017	https://t.co/F9zm7SleKF Concrete Ark house 'floats' to facilitate natural rainwater runoff #GreenClean	0	0.0	0.0	0.0
493	7,55347804311073E+017	Q: Is there a connection between shellfish allergies and iodine? - Wilderness Medical Associates International https://t.co/4TM0FP7GQb	1	1.0	0.0	0.0
494	7,55407398551097E+017	Montgomery, commander of allied ground forces on D Day,would probably like to know why NATO supports Ukraine's Nazis https://t.co/mNuiiurMIw	0	0.0	0.0	0.0
495	7,55462710511436E+017	"""In art the hand can never execute anything higher than the heart can inspire."" ~Ralph Waldo Emerson"	0	0.0	0.0	0.0
496	7,55910384423436E+017	#promocave Book News Update: Amy Schumer will stop in Naperville on book tour https://t.co/Y7X6Fn5B8G #books	0	0.0	0.0	0.0
497	7,57492444846027E+017	Chaotic tour ends in cancellation to cap nightmare tour for United. @MarkOgden_ reports https://t.co/Cp4vwQZFtW https://t.co/lnQBtRbDEE	0	0.0	0.0	0.0
498	7,59596994008642E+017	Adverse #Effects #Of #Marijuana #Cannabis #Seeds #Sale #How #To #Grow #Cannabis #Indoors https://t.co/F2rvT9UTS0	1	1.0	0.0	0.0
499	7,63136159472087E+017	The Incredible Brain Of Simone Biles https://t.co/wfjMKUB7pE https://t.co/H2Z4YEPmEL https://t.co/cFzPASgtDU	1	0.0	1.0	1.0
500	7,64815992199475E+017	How SARS in China helped ramp up the US medical intelligence program https://t.co/Oc5dst8xYq	1	1.0	0.0	1.0
501	7,64934703048692E+017	Tennis wouldn't support that theory though. Murray carries the nation here! https://t.co/ljUMtlWo0R	0	0.0	0.0	0.0
502	7,64986742118113E+017	Reading facebook comments for 20 minutes is scientifically proven to drop your IQ by more than 52%.	1	1.0	0.0	0.0
503	7,69465842278867E+017	Change is essential for growth, but if we’re not under leadership of Holy Spirit, what will we become? https://t.co/9YvxyLUKXV	1	1.0	0.0	0.0
504	7,69950776055718E+017	Arianne Phosphate reports corporate and financial results for second quarter 2016 - https://t.co/yxoaaeEAsq #InvestorsBuz RT	0	0.0	0.0	0.0
505	7,70908918667158E+017	this is hilarious except the article it's based on is scary https://t.co/U0KkQcrMTy	0	0.0	0.0	0.0
506	7,71040787572388E+017	This technology will stop snoring forever! https://t.co/5UMpF8n4bH	1	1.0	0.0	0.0
507	7,71078414702895E+017	If only people would stop interfering in other people's business 😜😜😜😜😜😜😜😜	0	0.0	0.0	0.0
508	7,7151675216962E+017	"""Submit to google classroom"" ""Save in drive"" ""The hw is on edmodo"" ""Notes on google classroom"" ""Go to google docs"" https://t.co/79lb5L0XEs"	0	0.0	0.0	0.0
510	7,73715010128257E+017	Suggestion: nobody order a cake from anyone for any reason for the next 5 years or so. Learn to celebrate with pie. https://t.co/1EhYayNezI	0	0.0	0.0	0.0
511	7,73851222902207E+017	Danish data and fantastic Australian collaborators to look at traumatic versus non-traumatic neck pain https://t.co/fwPcSyUdPC	1	0.0	1.0	1.0
512	7,74892588214084E+017	When the ROLLER COASTER Stops ~ Bethany's cancer journey #Relationships https://t.co/gkg2Dm8EVt #eNovAaw #kindleUnl https://t.co/ujc06CosU8	0	0.0	0.0	0.0
513	7,74940559324701E+017	PS4 firmware update will bring HDR support to all PS4s. https://t.co/56mgoQ2Wee https://t.co/DxqOLSkd96	0	0.0	0.0	0.0
515	7,7616992646171E+017	@07904567432a @ClarkeMicah @PeterboroughJoe smoking from adolescence, or for multiple decades, seems to be the problem.	0	0.0	0.0	0.0
517	7,77363682497966E+017	so Hence proved that reviews can't stop a good movie #IruMugan #Inkokkadu #Chiyaan	0	0.0	0.0	0.0
518	7,77950279291507E+017	@lncestPrincess @lilsummer14 your denial is higher than your blood sugar, please jan get help	0	0.0	0.0	0.0
519	7,80128007243432E+017	@SDO4540 D has to get a score or TO after a stop or two	0	0.0	0.0	0.0
520	7,80579563315225E+017	NBC, what's the matter with your people? Like damn already Lester needs to get up in this Debate and stop being a wallflower.	0	0.0	0.0	0.0
521	7,80736441378828E+017	Breaking news: Snake stops a bullet train https://t.co/Mxeznj2KAE	0	0.0	0.0	0.0
522	7,81240324068823E+017	#UmpquaCares campaign promotes acts of kindness a year after shooting - KATU https://t.co/2RcFmF2bBQ #Kindness	0	0.0	0.0	0.0
523	7,83019110418481E+017	"Today in ""are women spending enough time and money fretting pointlessly over random body parts?"": brow health https://t.co/LKZhWFjkDx"	0	0.0	0.0	0.0
524	7,83315619806577E+017	#BREAKING: Gas leak leads to explosion in northern New Jersey https://t.co/rHoe12K0iz https://t.co/iBIfZN7GdV	0	0.0	0.0	0.0
525	7,83365191459148E+017	Amazon ECS now supports automated task & image cleanup! https://t.co/STzDhSEyNa https://t.co/4eKIWswyzF	0	0.0	0.0	0.0
527	7,836848693144E+017	Cooling Therapy Might Not Help All Cardiac Arrest Patients https://t.co/4oNE2klZne	1	1.0	0.0	0.0
528	7,83825596581229E+017	Company's move from Scottsdale will affect 375 employees https://t.co/w4d1anYTZp https://t.co/83Oq2wsUKx	0	0.0	0.0	0.0
529	7,84080325077074E+017	@Subroto90024726 Trading for beginners with expert support by the LINK! @verunyaaspidov4	0	0.0	0.0	0.0
530	7,85285499598545E+017	Empowering peace: service provision and state legitimacy in #Nepal’s peace-building process https://t.co/V9D27wEMTD https://t.co/N1M2WNSIhh	1	0.0	1.0	1.0
531	7,86587956828074E+017	Lead Ios Engineer Jobs in Santa Monica, CA #SantaMonica #CA #jobs #jobsearch https://t.co/rzR7V54cp7	0	0.0	0.0	0.0
532	7,86661009012425E+017	@miraclejeansday is October 19, 2016! Wear jeans and support the pediatric patients @umchealthsystem! If interested, call 806-775-8250 https://t.co/jT25wtCzuI	0	0.0	0.0	0.0
534	7,86984485212389E+017	Instead of BLABBERING would Arnab ask Modi to ban imports from China that supports Pak or just be an AntiNational? #WhyTalkToPak	0	0.0	0.0	0.0
535	7,87339568483803E+017	#HillaryBecause racist cops shouldn't be using force to stop violent thugs from raping and murdering.	0	0.0	0.0	0.0
536	7,87484307275194E+017	"#Inkigayo starts in about 30 mins! PLEASE play ""THREE WORDS"" M/V to increase counts until last minute! #SECHSKIES https://t.co/HQg3HRTIdD"	0	0.0	0.0	0.0
537	7,88425946995065E+017	Can't find a sunscreen strong enough to prevent busting into flames when outside. #EverydayVampireProblems	0	0.0	0.0	0.0
538	7,8874548651783E+017	.@IABTechLab releases Dynamic Content Ad Standard aimed to increase the relevancy of ads delivered to consumers https://t.co/RZBOeuDNVT	0	0.0	0.0	0.0
539	7,88762451789681E+017	A Creative Way to Increase the Success Rate of Cold Calling. yoram https://t.co/76dUjlx1eo	0	0.0	0.0	0.0
541	7,89032439154938E+017	ProLabs are recruiting for optical networking roles in the UK https://t.co/CsyF8OY5NI and the US https://t.co/dTNBKIPIpu #optical careers https://t.co/KeOqwyrtYO	0	0.0	0.0	0.0
542	7,89744902741561E+017	Matt Ridley: Climate policy is doing more harm than good https://t.co/L1MNlzi56d	1	1.0	0.0	0.0
543	7,89823044453741E+017	T2 sometimes praying for the patient goes a long way. Adds feeling of support #healthxph https://t.co/ZUum6yROuL	0	0.0	0.0	0.0
545	7,91001750153093E+017	"Muslims insulted by being called ""ignorant"" of the pain they inflict. https://t.co/nVveHJhC3r If not ignorant, they do it knowingly?"	0	0.0	0.0	0.0
546	7,92539909097599E+017	#Devils Tweets: Cory makes a huge stop with 3:11 remaining in regulation! #TBLvsNJD https://t.co/mdM6oUJJi9 #NHL https://t.co/nRoHRj5d9j	0	0.0	0.0	0.0
547	7,95078113868784E+017	The number of lies told by men would decrease significantly if women stopped asking questions	1	1.0	0.0	0.0
548	7,95710160933126E+017	#Sepsis is a complication of infection that can be deadly. @ElanaGlow reports more here: https://t.co/f7NQDpBd0S via @medicaldaily	1	1.0	1.0	1.0
549	7,95711462819983E+017	Collaborative Care & Support Planning a key approach to respond to people with multimorbidity @rcgp https://t.co/taHBZZVYcl	1	1.0	1.0	1.0
550	7,9854723035349E+017	RT BBCScienceNews: Database helps plant 'right tree for the right place' https://t.co/NTNueGclGg	1	1.0	1.0	1.0
551	7,98897332288913E+017	"#Canada ""deeply saddened"" by steps taken to withdraw from the Court. Encouraged by African voices speaking out in support of #ICC. #ASP15"	0	0.0	0.0	0.0
552	7,99009849254122E+017	So @Another_Europe launches a stinging attack on John McDonnell for saying Labour must accept Brexit. Why do trade unions support this crew?	0	0.0	0.0	0.0
553	7,9930008274713E+017	Opened Graffiti request via iphone at Intersection of Franklin St & Market St https://t.co/f3HdRlzMwR. https://t.co/y1T2POjthe	0	0.0	0.0	0.0
554	8,01944872450146E+017	Dude, defense running prevent again. Play the sideline, keep em from getting outta bounds and stopping the clock	0	0.0	0.0	0.0
555	8,0211102141032E+017	24.12.16 - my only day off during the week, and I wasn't braving the cold. Stayed in all day and relaxed, had some ice cream for a treat :3	0	0.0	0.0	0.0
556	8,03346646570594E+017	5 techniques every agent should be using to get real estate leads https://t.co/R6piXeRemj Total luxury dream homes are a reality via #didi…	0	0.0	0.0	0.0
557	8,04233493811261E+017	Lets's join minds and stop the spread of HIV around the world. #WorldAIDSDay2016 #WorldAIDS #Tikambe	0	0.0	0.0	0.0
558	8,04268948875346E+017	Indian real estate to see an increase of 4.2 mn units across 8 cities in the next 5 years » https://t.co/wFX4fWcUyk	1	1.0	0.0	0.0
559	8,04695983544222E+017	Five ways subscription box services can increase customer retention https://t.co/dkcJywo5yL	1	1.0	0.0	0.0
560	8,05588979416371E+017	So what was Israels reason for attacks, murder and destruction of the Palestinian people before 1982? SIMPLY HATE AND ETHNIC CLEANSING https://t.co/hLlBuxWvcU	1	1.0	0.0	0.0
561	8,06585328740037E+017	Up and https://t.co/N2QjTJQ8tU	1	0.0	1.0	1.0
563	8,08672080690483E+017	What satellites can tell us about how animals will fare in a changing climate - @NASA https://t.co/HJdka2hiSu #ClimateChange #biodiversity https://t.co/obxUKQ3U91	1	0.0	1.0	1.0
564	8,08784310056714E+017	U.S. Department of Transportation Proposes Mandatory 'Talking Car' Technology to Prevent C... https://t.co/VgKaUDcZ8F https://t.co/7Bck9E1sfA	0	0.0	0.0	0.0
565	8,0940245851442E+017	#ThursdayThoughts-Liberals need to stop being cry babies and spoiled brats! This is comedy ! Grow up ! https://t.co/5nGLrGQU6r	0	0.0	0.0	0.0
567	8,11684851619242E+017	Engineering rice to waste less fertilizer https://t.co/DfON6CoJ2e https://t.co/2wljBDXpFH	1	0.0	1.0	1.0
568	8,14338973665477E+017	RT HealingMB: Stressed? Stretching reduces stress, increasing circulation, reducing pain etc #Healing #Yoga... https://t.co/XTyqkcaSBt	1	1.0	0.0	0.0
569	8,16954428360004E+017	Forex - Dollar broadly lower after Fed meeting minutes https://t.co/gf9CyzNfrt #forex	0	0.0	0.0	0.0
570	8,1707972974019E+017	Volunteers coming to punjab through @ChaloPunjab Movement to support AAP. Hats off to his love for Punjab. https://t.co/dUYMGtnzfX	0	0.0	0.0	0.0
